#MJD		B	Berr	I	Ierr	R	Rerr	U	Uerr	V	Verr	g	gerr	r	rerr
58667.70	18.376	0.026	15.769	0.021	16.159	0.022	19.773	0.075	17.203	0.015	n	n	n	n
58668.20	n	n	n	n	n	n	n	n	n	n	17.668	0.048	16.385	0.037
58670.25	n	n	n	n	n	n	n	n	n	n	17.684	0.052	16.397	0.042
58671.20	n	n	n	n	n	n	n	n	n	n	n	n	16.324	0.051
58673.20	n	n	n	n	n	n	n	n	n	n	17.731	0.059	16.406	0.039
58674.20	n	n	n	n	n	n	n	n	n	n	17.728	0.071	16.423	0.035
58676.20	n	n	n	n	n	n	n	n	n	n	17.751	0.063	16.437	0.036
58677.20	n	n	n	n	n	n	n	n	n	n	17.781	0.073	16.463	0.04
58679.20	n	n	n	n	n	n	n	n	n	n	17.744	0.063	16.448	0.034
58680.20	n	n	n	n	n	n	n	n	n	n	17.768	0.078	16.468	0.036
58682.20	n	n	n	n	n	n	n	n	n	n	n	n	16.5	0.03
58683.25	n	n	n	n	n	n	n	n	n	n	17.895	0.091	16.506	0.044
58684.25	n	n	n	n	n	n	n	n	n	n	17.936	0.105	16.547	0.041
58686.20	n	n	n	n	n	n	n	n	n	n	17.838	0.061	n	n
58688.20	n	n	n	n	n	n	n	n	n	n	17.895	0.052	n	n
58689.20	n	n	n	n	n	n	n	n	n	n	n	n	16.482	0.039
58690.20	n	n	n	n	n	n	n	n	n	n	17.889	0.065	16.581	0.043
58691.20	n	n	n	n	n	n	n	n	n	n	17.954	0.057	n	n
58692.20	n	n	n	n	n	n	n	n	n	n	17.908	0.059	16.609	0.05
58693.20	n	n	n	n	n	n	n	n	n	n	17.894	0.079	n	n
58694.20	n	n	n	n	n	n	n	n	n	n	17.922	0.06	16.606	0.051
58695.20	n	n	n	n	n	n	n	n	n	n	17.96	0.13	n	n
58701.20	n	n	n	n	n	n	n	n	n	n	n	n	16.682	0.048
58705.20	n	n	n	n	n	n	n	n	n	n	18.02	0.092	16.726	0.058
58706.20	n	n	n	n	n	n	n	n	n	n	18.049	0.07	16.75	0.05
58707.20	n	n	n	n	n	n	n	n	n	n	18.106	0.107	16.747	0.05
58709.20	n	n	n	n	n	n	n	n	n	n	n	n	16.787	0.054
